amount,hour,day_of_week,frequency
524.5010996679038,8,1,2
894.6921783205116,8,2,1
659.9382445170415,17,3,1
513.8011022718067,9,4,2
670.2804184757657,14,2,1
302.41283084069175,9,1,2
337.8988306041563,12,3,2
319.09162324258574,8,1,2
543.6445465062193,11,1,1
682.112824474216,9,3,1
916.8954461083127,10,1,1
778.180699237055,11,1,2
220.28648523617176,13,4,2
612.5938473381142,11,2,2
509.7043255889654,15,4,2
333.80997671779244,13,1,2
547.4648769519487,8,2,2
554.7154806277256,15,1,1
318.06140997030946,11,0,2
627.7247299675288,17,4,2
1056.75548469781,8,1,2
177.79887800895574,14,1,2
383.4838168730132,12,0,1
552.1812867663347,15,2,2
590.3031884037939,9,4,2
628.7605203408636,9,3,1
597.6088158757499,15,2,1
816.0268190150402,10,4,1
557.9549713792826,11,0,1
915.0801597290878,9,2,1
503.68367583791036,16,0,1
835.2874624550566,9,4,2
42.187748613400515,10,2,2
786.4963834905011,11,4,1
536.373251011699,13,0,1
549.6441172600672,14,0,2
489.6482030589398,17,0,2
868.1886139874416,11,4,2
1134.8884274253517,11,3,1
536.4481209313307,10,2,2
345.2421601792854,17,1,2
251.0690593377166,17,4,2
459.4307560659695,11,3,1
509.3830869900517,15,1,1
231.71096844006047,15,0,2
877.3656224248473,8,4,1
583.7678827736974,8,2,2
422.1423616545014,16,4,1
595.0637720424613,10,3,1
763.7677242181542,13,1,1
432.8430601419744,10,0,1
833.8043050578785,12,0,1
318.61930117164917,9,4,1
355.87355293936326,11,0,1
521.9705893909489,15,0,1
725.9298969944741,14,2,1
410.3945720399539,8,4,1
75.18038513396527,15,2,2
546.9628173591133,13,3,1
863.6039215922231,13,2,1
386.45619304486183,10,1,2
8579.861144236987,9,3,1
482.15576488126595,14,2,2
505.99672690543156,15,0,1
528.6430904995043,15,1,1
695.6585964232515,15,2,2
283.78733448002055,14,1,1
623.1871213888528,8,4,1
566.0638136485233,9,1,1
674.001981512815,11,2,2
434.1338003360396,11,4,1
480.6347925213179,16,1,1
694.3645380345471,8,1,1
493.8083498726853,16,1,1
623.4779619440651,11,1,2
259.96600071967816,9,4,1
769.3491957281991,16,1,1
525.358631936094,13,1,2
824.1066890331754,16,4,1
814.0989270522277,8,1,1
375.03628446086424,13,2,1
505.21821004216673,11,2,2
454.99881932592496,11,0,1
741.5184340860524,10,1,1
519.0641613895439,8,1,2
535.807359309793,10,2,2
1012.016907653759,9,0,2
480.78802005507004,16,0,2
895.0054707261563,17,0,1
490.54706947419817,9,4,2
624.3619924434392,10,4,2
185.95505602190872,8,4,1
236.13042217251888,15,2,2
454.75095619826476,8,4,2
770.96903447465,16,4,2
705.7285260606131,17,0,1
109.50262539786354,12,0,1
444.1001868399919,9,2,1
771.3266764366908,14,0,2
1.0,10,3,2
515.9315715055174,17,3,1
702.6632072110707,8,3,1
529.0592479482079,17,3,2
842.7147981644412,10,1,11
396.54230997992556,12,3,1
781.869488037116,16,1,2
815.9144291461425,8,2,1
395.4279945693463,9,3,2
493.0630225226438,8,0,2
546.8429465073042,17,4,1
554.8011570171143,15,2,2
510.0613045510641,16,3,2
533.2904416426112,12,2,1
598.4902528016298,9,0,2
603.0545705973531,14,0,1
738.8363925102137,17,0,1
133.83692516126303,8,2,2
1133.474334412832,15,4,1
50.866560201232744,16,2,1
324.32576258144314,17,0,1
329.8887082675609,15,3,19
520.9470597276261,9,4,2
681.4989536834512,10,1,2
507.17890995353997,8,2,2
664.0964362394728,16,4,2
601.4548062214595,13,3,1
491.675701341497,14,1,2
611.2113295657712,12,1,2
337.844816021403,9,4,2
672.4526049593758,16,0,2
629.0968362282151,2,2,2
932.650944661092,12,4,2
410.71327708989435,8,3,2
538.8179985796615,13,0,2
388.2156305456823,14,4,1
7342.6970838429215,10,2,2
517.7904545219404,11,1,1
733.1827430742801,13,2,1
586.1680488667497,12,2,2
548.6615328256731,16,4,1
732.6970916062518,9,4,1
314.13356117954527,16,3,2
601.1003621222982,16,0,1
494.215023165026,9,3,1
539.304233940294,16,0,2
641.8007515177025,11,0,2
588.9310371333918,12,4,2
300.9289272151966,8,4,2
565.6990740259632,13,2,1
485.5433043859152,13,0,2
375.87914721209677,16,3,2
587.3427933780677,15,1,2
704.6282409374453,8,4,2
518.3171477387526,14,1,2
697.7765474618036,9,1,1
624.6619613309208,15,2,1
511.9260739840348,9,3,2
370.61264445888526,11,2,1
522.9066732430928,17,1,1
690.0290941997664,16,3,2
630.0563149919406,16,4,1
813.4706003918818,14,3,1
623.7373095695812,1,3,2
725.8648875079001,15,0,1
622.7035945460833,13,0,1
295.4414869603189,12,1,1
776.8884223371293,11,3,2
651.4911498634082,4,0,2
173.40954389160333,10,1,2
385.44631509029483,10,4,2
374.8874596980941,15,3,2
579.1607066874818,17,3,2
564.760025521189,16,3,1
441.702004201302,15,0,2
427.51181171937355,16,3,2
276.06602107477124,12,0,2
218.74307428334356,17,2,2
389.47440101875975,17,4,2
467.3065326595586,15,2,2
270.96451519292384,13,3,2
669.4158019970068,12,0,1
744.5001829773761,15,3,1
448.19157083585935,9,1,1
460.7300301830044,11,1,1
375.22596079797586,12,0,1
392.6522919516981,17,3,1
191.10710127870647,9,3,2
600.6858165203755,11,1,2
421.1156305842959,14,4,2
414.5428748784535,13,1,1
530.0837810287153,9,1,1
572.992200493245,15,0,2
623.605742196724,12,4,1
528.2073311645129,9,1,2
487.1723306814015,16,4,1
565.7524820606961,11,1,1
477.6955884682109,9,1,1
653.5627838952794,10,4,1
695.9185901681732,12,0,2
233.0392323562046,12,2,2
712.7131438772037,10,3,2
949.2257931872023,10,1,2
696.3530973983188,9,3,1
435.0337232982755,16,3,1
704.514086401928,14,1,2
987.9504812678546,12,2,1
262.6605764624133,11,4,1
806.146478507599,9,4,2
302.28177856981654,10,1,2
279.2821365568458,9,0,1
473.1463793284979,17,4,1
468.15522438065796,15,0,2
471.23084581760725,13,0,2
659.2417616905043,17,2,1
509.77201406514087,16,1,1
508.1183382407765,15,1,1
444.935355298914,17,2,1
650.2751974151892,15,2,2
365.3018751512263,11,1,1
555.7988324447604,12,0,1
993.6104364459654,13,4,1
121.56315023526662,14,2,2
390.58094052257974,16,1,2
532.714667117731,12,1,1
841.7092739533773,14,3,2
417.4950694965709,17,1,2
279.84414343266303,16,3,1
357.74027504789245,9,3,1
230.92630955290025,15,1,1
664.8029661196704,17,2,2
834.5144773675406,11,3,2
583.8038018732091,16,1,2
32.88545516667443,14,3,1
400.1405520856006,12,3,2
654.6214413390475,11,1,2
268.96404977191366,8,4,2
441.83878397119247,9,0,1
418.43538278629114,16,0,1
279.32667876522527,11,1,1
69.42188140950344,13,2,1
423.0316236105749,8,1,2
592.7944565846918,10,1,2
427.7228465636324,16,4,1
409.9797732619552,9,2,2
642.4542979011756,9,0,1
524.0451266868427,11,0,2
396.7487968125746,10,0,2
686.3552194817412,12,1,2
183.74848581610382,11,1,1
507.2220350660256,13,4,1
306.6965948130014,10,4,1
583.4380928765129,16,1,2
529.7334914404223,16,2,1
432.58280577639215,16,3,2
609.7059717069548,8,3,2
315.5134627977042,8,4,1
598.1272442845429,13,1,1
294.419446857261,10,2,2
418.7595522756335,12,1,2
267.53856872247644,13,4,2
591.5074692296461,12,1,2
261.2806179358009,12,1,1
301.1787533915615,12,3,2
493.8122005688752,17,3,2
465.4107880153154,16,4,2
842.3416960284687,17,4,2
728.4652909076704,8,1,2
275.83552689592256,15,4,2
648.4190744018614,15,0,1
559.8585160812984,14,4,1
493.9769065799801,15,4,2
551.843603668652,8,4,1
339.5014533576706,11,2,2
759.7622649694104,14,2,2
748.8067896269723,13,1,2
59.36790783482763,8,0,1
435.46403223157284,11,0,1
449.8333967089905,14,1,2
791.1237380162233,9,2,2
859.8543150037999,15,1,1
672.0408484040968,17,0,2
74.09738517799173,11,4,2
561.4813395618202,10,1,2
663.1474425078593,14,0,2
667.5125406716745,12,3,2
337.2709287880651,13,2,1
579.9375903505284,9,2,1
369.7286212416342,13,2,1
120.1647224169065,10,4,2
515.6858798037285,16,4,1
765.3618840083982,12,2,1
549.4053287210226,10,1,2
833.9809008702812,14,2,1
578.9343059645962,16,3,15
665.3988778234635,11,2,2
659.5605346098833,14,2,1
812.7471232099599,17,2,2
249.95070037593612,12,4,2
733.3097181954012,11,0,1
385.4004390018108,10,4,2
451.16003296151433,15,1,2
522.1642190267606,10,0,1
465.9630754950143,17,4,1
409.354390134545,10,4,2
324.471516048085,11,0,1
656.4986989401243,16,3,2
872.3611567339262,13,3,1
284.661966154974,17,4,1
643.5980619832342,13,4,2
835.1094787088971,10,4,1
706.5927894305612,12,3,1
461.0109583142083,12,3,2
519.9811087804819,11,0,2
529.1923219426301,16,3,2
309.18765045073553,15,1,2
309.2790773960604,17,0,1
534.7832167667525,11,1,2
466.14982318873865,12,3,2
647.3687794184866,9,2,2
443.7344885763573,14,4,2
608.4927723000474,12,1,1
750.8713737145425,10,1,1
593.2859964867052,16,4,19
492.8717035405033,16,0,1
401.60532617217604,16,0,1
220.67422884235447,13,1,1
580.8514390026904,16,1,2
323.1969090881587,10,4,1
504.15874153508156,17,2,2
354.3994117541731,8,4,2
659.0876505338575,15,4,1
661.7905798077991,16,1,2
676.6219554294319,8,1,2
484.4325605974396,14,3,1
761.8945792701426,10,2,2
386.3715340331331,15,3,2
311.3233901260129,16,1,2
275.2197066269814,13,3,2
433.0449335786918,15,4,2
419.27030735160065,12,3,2
504.8438913345516,8,4,1
782.4441110830858,9,3,2
262.1977435239931,12,0,1
448.94961157954936,16,3,2
558.6787911283806,16,3,2
485.0070098321905,10,3,2
555.3418087809969,16,4,2
646.4281126970232,10,3,2
408.59233282752064,17,0,1
439.62309896188964,9,0,1
652.7182201239712,13,0,1
751.4119913378186,10,0,2
436.4853602352524,15,3,1
364.90771102884435,16,3,2
673.569388606259,13,4,1
424.3827798033331,12,3,2
636.6837009246848,9,2,1
381.1730846450227,14,2,1
237.2669382055368,12,2,1
384.1489534314307,11,0,1
577.6485295570689,10,2,2
360.7160414154793,11,4,1
908.3491821125704,16,3,1
688.4624420535736,15,4,1
159.95902509038677,12,2,1
605.6606069333836,16,3,1
585.6625924946993,13,0,2
679.8271427374984,14,4,2
516.624493131336,9,4,1
406.5793186418448,11,4,1
536.317369189758,16,3,1
841.8322465956423,15,0,2
137.99351934548417,16,2,2
362.41322663256443,13,4,1
615.9817934943841,14,3,2
739.9317351717136,10,3,2
570.6414789015686,15,0,2
496.0429369570069,13,1,1
455.96107459840846,15,2,2
86.42905471280153,15,0,1
559.5842130519605,8,1,1
557.746478943992,8,1,1
665.8649647856319,8,0,1
383.6324336165958,10,2,1
487.1859399743005,8,3,1
381.94490332804344,15,4,1
260.36319347953287,17,3,2
705.8443582467787,16,2,2
822.4441256510848,9,3,2
679.3678631731063,11,1,1
804.2796995663844,8,3,2
401.81251002572697,16,1,1
661.7971030065952,17,1,1
561.0639559094132,16,3,1
511.6702008570955,15,1,1
351.0431586546946,10,2,1
659.6508142850889,8,0,1
460.8278359824325,13,3,1
868.0434269683982,14,0,1
350.9053015875769,9,2,1
473.1382517058904,2,2,2
662.1616546319565,11,3,1
246.62110569522974,14,3,1
508.85187721406584,4,3,1
587.2850258986158,8,4,2
765.2684395974441,11,3,2
338.07929601567076,12,2,1
584.8122088928179,11,1,1
470.2944895276735,10,1,2
647.2778940369195,12,1,1
219.2486709894834,10,3,2
209.36697074914446,8,4,1
496.3393031957021,9,4,2
579.4489218482905,14,2,1
342.4432496183522,8,4,2
375.8304803497768,12,3,1
692.2843370735086,15,4,1
135.05519061985217,9,2,2
720.1919269997143,17,2,1
891.6694908441189,15,3,1
195.09574267616517,12,1,1
548.1849994578937,13,4,2
553.8253882490214,11,0,2
431.3615449005179,13,0,1
497.3056356669684,13,1,2
578.1045795130002,8,2,1
772.5347724734115,12,2,2
333.6996114087807,11,4,1
733.1612038416771,15,2,1
459.1090040629551,12,4,1
891.4127281083283,10,1,2
451.7171179159588,12,3,2
542.3281955017297,10,2,2
845.1815540704749,8,2,1
377.2406246314247,15,4,2
537.8575788471111,8,3,1
494.69574815018797,11,2,1
323.62506975445643,9,4,1
578.1226355458723,8,1,2
658.5865880971836,13,3,2
178.48802712620517,9,2,2
347.45504428675713,15,2,2
191.84139151382664,16,4,1
473.4966640916207,12,2,1
619.6115392905817,17,1,2
330.122616968819,11,3,2
187.0173261561461,12,3,1
456.561329987807,15,1,2
361.0573737821884,9,2,1
418.1435123773792,16,0,2
8704.520280760356,8,1,2
819.2159471066298,16,0,1
404.75582529106816,11,1,1
674.8778361425454,10,0,2
486.89047864379904,8,3,1
896.3383612800058,14,1,1
693.0794969182341,8,3,1
747.2261443612435,16,0,1
499.298401598292,14,3,2
305.9992064981914,9,2,11
67.05714993791787,9,0,1
767.7243468780903,13,0,2
189.24824679678716,15,3,2
663.5779316050057,13,3,2
319.8758530704263,11,4,2
627.6783851216766,16,0,2
314.8361633704842,17,4,1
520.2713423093103,9,0,2
631.8062697744806,11,4,1
444.89794190631983,17,3,2
710.7224798487321,8,3,2
355.3074382259424,13,4,2
452.46097506207184,13,4,1
538.4469528390462,17,3,1
532.9521682473033,10,0,2
510.17754037120363,8,0,2
179.81920430469688,10,4,1
334.3005950439508,9,3,1
360.9912679700521,17,0,1
491.76610461749,11,1,1
458.85448183440536,17,3,1
369.9966662659093,17,0,2
680.68980721822,8,0,1
512.1217671349866,15,3,1
436.0304953490312,8,1,1
530.351598449748,16,2,2
507.57238300179006,17,4,2
616.9145255899136,13,1,2
387.2599649884198,13,4,2
483.3932793014454,8,0,2
24.866797781476805,13,0,2
619.64987492599,15,2,2
456.49185028321125,9,2,1
202.19992897520564,13,1,11
332.67441414187374,9,1,1
816.6451059385013,17,3,1
797.1736551035368,11,1,2
455.885506503832,16,4,2
678.9155358487513,12,1,2
76.66724782059998,14,2,2
496.05018129307456,17,3,1
402.6840218652385,14,2,2
231.17710592736262,12,2,1
179.34790663681008,17,0,2
748.9376092730193,9,3,1
116.76656406682423,17,1,1
339.20552023860444,8,0,2
649.2176239079369,16,4,2
895.288116903097,10,3,2
187.15167765778972,14,1,2
632.3991134126611,11,1,2
607.7955951402197,15,0,2
426.7536921363477,16,2,2
588.7760460434871,10,4,1
587.3477103467019,11,1,1
580.8589509923395,17,3,1
379.1016782439903,11,4,1
490.23808237892626,12,0,1
465.2936341929967,16,1,2
389.5356652845311,13,4,1
381.24093554873514,10,3,1
306.8485168787481,14,1,2
385.86573027733493,10,0,2
646.8436437416392,13,3,1
550.7722418029169,15,0,2
813.7868991354991,17,1,2
583.6796441777367,17,0,1
780.3197185892859,11,0,1
506.6655851331604,16,2,2
308.7646233700706,15,1,2
416.44404051364404,9,2,1
688.4476302994723,13,3,2
562.3403604262437,14,0,1
410.2463551022738,11,3,12
487.94220172167763,11,2,1
590.9590339284761,16,0,1
144.32980654692386,13,4,2
369.01080783946196,10,2,2
537.4328040972324,11,3,1
545.9852935786861,13,2,1
636.7138646400955,10,1,2
226.80885775989316,10,1,2
513.9493697682097,12,2,1
372.0470945111734,8,0,1
362.95876042811886,8,1,2
469.6889089980041,13,4,1
608.2113526985275,11,2,2
469.3031442088287,15,3,1
494.54201207205983,17,0,2
446.54877711539467,12,3,2
568.2254626879418,8,2,1
242.49619478814026,10,1,2
315.6280373749374,17,1,1
299.2085255837003,13,3,1
419.78822997512276,10,1,2
874.1326752384937,13,2,2
737.9822794482335,13,0,1
702.7351481087727,9,4,2
457.0179289699844,13,3,2
555.3586898650576,8,0,1
434.5763606822376,8,1,2
175.28895239537337,3,0,2
570.0683558456794,11,4,1
559.5712188412042,17,2,2
893.0682923444169,9,3,1
607.9560517983914,8,4,1
305.37692795573594,17,0,1
124.51142295277822,14,1,2
219.91608793384648,17,0,1
541.3549559668833,15,2,2
530.7663832156514,16,0,2
653.2934736223192,13,4,1
415.92097552767456,17,2,1
772.5234053226735,17,3,2
390.088572818284,17,0,1
671.9175773959604,14,4,1
401.3754355200456,9,0,1
788.7264006937628,12,4,1
661.7785840212019,10,2,2
609.2927528295324,11,3,2
175.4144838339805,17,3,2
570.6861732972825,14,4,2
217.9717990039353,8,0,1
343.8919803541349,13,2,1
573.4963330948609,17,0,2
437.29406276552044,10,0,1
594.7264153622909,11,4,1
314.7237740036923,12,1,1
250.8565247107231,8,0,2
510.98682219996977,17,2,2
723.7763240596798,9,0,2
866.7845304387567,14,2,2
522.5101430016457,16,0,2
589.007172823238,10,1,2
500.089098837509,10,4,2
240.56627562302475,8,4,2
570.9235136035888,8,4,1
491.0090826455234,10,1,1
607.4631315088408,16,2,1
766.8700651898598,12,2,2
569.9624685097727,16,0,1
615.4051653336905,16,2,2
452.21743160319426,10,2,2
786.0311273119756,10,2,1
320.590713870949,15,3,1
365.39063097459757,11,3,2
461.2101199114693,13,3,2
367.3391356450966,17,4,1
249.1402274128496,14,3,1
8308.421441999282,17,2,2
459.7016932104964,9,4,2
498.6957369541084,16,3,2
741.310387247355,14,1,2
1050.021439916151,12,2,2
815.6075014106198,13,4,2
279.77194240448557,14,2,1
538.1271182530048,13,1,2
688.2621161534967,13,2,1
425.8983802819942,17,3,1
218.88659616427162,8,1,2
136.3519132005705,8,0,1
85.25076256269256,10,4,1
470.79267885164035,11,1,1
758.0753502516452,11,3,2
298.2890631847584,8,4,1
107.47486166548418,12,2,1
519.0688398882617,13,0,2
447.31035678355016,15,4,1
567.0116058168235,8,4,2
563.2311914365556,11,3,1
620.4932191401801,10,4,1
708.3704287496057,8,2,2
440.81631579662303,12,2,11
719.8754776364902,8,3,2
459.0756497470263,10,4,1
500.962661475357,10,0,2
429.7171528572535,17,4,1
812.6826717664217,10,2,2
803.389357941729,12,2,1
770.2271826522459,11,0,2
381.5288088695893,9,2,1
524.7095391911165,15,2,1
531.4895849921534,16,0,2
402.7286212900374,10,0,2
232.7983266729084,13,1,1
422.1675365828066,9,3,2
810.8320841429548,15,3,2
670.7951953104448,15,1,2
736.8345055320291,9,3,2
559.9549127443129,15,3,2
424.0306142176182,17,0,2
535.5142617280073,14,2,1
742.5641970063732,16,2,1
399.31288816776004,17,0,1
616.4334088960117,12,3,2
531.4324699737635,14,3,1
435.03352526613617,9,1,1
631.2714901258582,9,2,2
746.3968942539271,12,0,2
1.0,15,2,2
410.25668626698024,11,4,1
718.0868682798218,12,1,2
670.2138428041227,12,1,2
800.1142737925337,15,2,2
330.6707502267276,14,1,1
495.0685438537012,12,1,1
625.9829724092588,15,0,1
92.11370033601361,14,4,1
1.0,16,3,2
897.426194134021,14,0,1
574.6962375464321,16,4,1
358.2429839506922,12,2,1
943.7560466896268,11,3,1
468.1909579199897,13,3,1
378.42494786483644,9,4,2
392.1754593702043,15,0,2
393.537546814042,8,2,1
7600.370305555753,12,3,1
1005.9129010925644,11,4,1
624.8838824513105,9,0,2
346.515799985665,8,4,1
324.72305331093935,15,1,1
312.6987250420808,17,2,1
366.4440887062228,8,3,1
774.4233693144743,8,4,2
621.4490907366812,9,4,1
380.1267012319362,15,2,2
277.9992856228147,11,1,2
83.17741210028231,1,0,2
844.9393299522217,8,4,2
676.2143147245226,17,2,1
811.2001143678408,8,0,2
540.4041873980015,15,1,15
542.9880339877865,15,0,1
461.0605407766637,10,1,1
487.16236457830047,14,3,1
265.5479094217,9,4,1
729.3758398503799,13,1,1
698.2517316384177,14,3,2
707.6755309530298,10,2,2
699.3141021158895,15,1,2
406.7009241543604,16,3,1
9523.83170840059,9,2,2
596.9757363064264,11,1,1
613.2171965488428,8,2,2
639.802724002601,17,1,1
727.1240294365888,8,0,2
278.74129751767316,17,4,1
416.76962882771033,8,3,2
582.1698408865366,17,1,2
258.19312060216294,16,1,1
452.3323655372858,14,3,1
552.804016266734,14,2,2
754.4707000213535,16,3,1
662.8338966664704,17,4,1
356.8966361483358,15,2,1
564.4933802003494,9,0,2
455.3865929038517,14,1,1
566.8352834489795,13,3,2
468.9481902350502,14,1,1
504.6659017294354,13,4,1
406.4801319010008,16,1,2
449.33393376901074,10,4,2
529.3282568594925,8,0,2
486.3444754721324,13,2,2
329.7259099374378,15,4,1
341.55821876306163,12,2,2
52.73419433717095,13,1,1
628.0794369823356,17,3,2
529.794389865442,9,1,2
431.490159828447,14,2,1
534.0927541993142,10,0,1
62.940630533018805,15,4,1
728.7673452840781,9,0,1
846.9873151673617,12,3,2
328.64558123464144,11,4,2
530.6203985868651,13,2,1
703.6314495297504,9,3,1
270.07416020983726,17,1,2
303.2134233779884,14,3,2
546.8048908706296,13,1,1
450.29427638511015,11,4,1
186.4584412348458,17,0,1
417.1020548254861,13,2,1
481.10825711159947,16,2,1
583.9219944048236,15,2,2
797.6470633738952,17,2,1
206.33268769318096,14,0,2
241.37169124827045,11,0,2
614.4780622351351,15,0,2
461.1461736042961,14,0,1
348.8416999683274,11,1,2
598.2415330823992,16,1,2
428.3941240506027,8,2,2
361.7251005172128,17,3,2
709.0269096768538,14,1,2
296.0987595231626,14,3,2
686.8855566462614,8,4,1
477.8669262885341,12,1,1
320.6715545369584,12,4,1
600.3437986055399,17,4,2
868.5806096609301,14,3,1
338.7274605727397,13,1,1
230.88331997900679,10,1,1
247.17117299446758,16,2,1
281.31268358071765,11,0,2
424.90122272955654,11,2,1
736.4705688183568,11,4,2
621.0447402036511,16,4,1
723.0866594762269,12,1,1
132.78560249949214,8,4,1
343.1018713515781,8,2,1
611.1177369337875,8,0,1
985.85652859025,8,3,1
617.2665951156273,10,1,1
420.77478040215425,10,3,1
833.4448223102274,9,3,2
804.6477243424516,2,3,1
623.7260240219483,16,1,1
236.74599178518014,13,0,2
573.4340320466868,1,0,2
253.0815108431521,9,3,1
788.6579107263885,15,2,2
58.716230323253455,9,4,1
824.4386203098858,15,4,2
890.2284096595589,12,1,2
465.4396525207071,15,3,1
654.384030967335,11,0,2
573.5239680419422,10,4,1
529.6178839596553,12,3,1
452.3779127375892,13,3,2
509.2005494506548,14,4,1
483.3212757742233,12,4,1
1.0,15,2,2
240.4980720035539,13,4,1
348.4287607988248,12,0,1
69.52329107816394,12,3,1
675.2911291005871,14,0,2
486.89709818825355,13,1,2
565.5722281501552,10,0,1
336.45690485397387,11,4,2
173.47945086253537,10,3,1
537.9127712869263,11,0,1
301.4469648496359,13,2,2
635.902450815882,16,3,2
719.3412860680254,13,2,1
747.802598403193,10,1,1
1036.8691484846622,16,3,2
539.2262918047815,14,2,2
319.18634205279994,13,1,1
814.6120732128329,8,1,2
178.24626735909533,15,2,2
779.9189290291587,11,0,2
5284.406988888233,10,4,1
653.2392018348214,16,3,2
702.0827652501312,8,1,1
786.8265446467168,9,3,1
549.9169123578339,17,0,2
499.7706421849073,10,3,1
355.5864014008745,1,0,1
898.566525054006,13,0,2
344.1408800957136,8,1,1
988.9165505165013,9,2,2
391.54353244746716,12,3,2
800.1299579466083,11,0,1
681.667232216219,16,4,1
328.8865527153441,11,2,1
294.4126477853322,16,1,2
485.2054272811244,11,4,1
484.86687913483394,17,0,2
705.5764188041503,11,1,2
369.4981719158552,14,4,1
808.3345623592734,15,2,1
184.11700210138792,12,0,2
365.01319624188955,9,3,1
419.38480218699385,13,1,1
823.6762657695671,17,0,2
447.7907616239695,17,2,2
505.22549458715775,15,1,2
153.01447357298758,17,0,1
604.4501272035557,14,3,2
480.4169507114192,14,0,14
780.0799589590565,17,2,1
610.8449407892078,14,4,1
396.5633832387863,10,3,1
390.3667288061507,10,2,2
476.72186742784476,10,4,1
221.52209444326257,14,4,1
609.392219092658,16,1,1
513.7691462567706,8,4,2
409.09045625131114,16,0,2
456.2693445129928,16,3,1
721.1263383048142,16,1,2
684.3406970200706,9,2,2
468.21285293424376,16,3,2
416.30579389656083,16,1,2
806.0390397726703,14,4,1
632.9854324603482,11,1,1
313.064257903349,9,0,1
542.2915507734472,10,4,2
400.7895374920511,16,0,1
619.1288115139439,13,2,2
687.6631431929009,8,2,2
315.7509777114187,8,4,2
389.876294679574,13,4,2
915.5354265838887,13,3,2
